# Title map: сурово заглавие от емисията -> канонично име на предаването.
#
# ДОГОВОРЪТ (виж normalize.py): тук стоят СУРОВИ заглавия, копирани дословно
# от емисията/базата — по едно представително за всеки ключ, който трябва да
# се слее. Нормализират се при зареждане. НИКОГА не се вписва вече
# нормализиран ключ: нормализацията не е идемпотентна и второ минаване реже
# погрешно ("i - карли" -> "i").
#
# Кога се добавя ред: когато едно предаване се появи под два ключа — друг
# език (Bluey/Блуи), друг превод (Разказите/Приказки за костенурките нинджа),
# правопис на източника (Уайлд - Пак/Уайлд-Пак) или маркетингов вариант
# (Запознайте се с Batwheels!). Нормализацията нарочно не решава това — то е
# редакционно решение, не текстообработка.
#
# Всички редове по-долу са снети от емисията на 23.07.2026.
raw_title,canonical
Bluey - Bluey S1,Блуи
Блуи - Блуи,Блуи
Bluey Minisodes: Season 2 - Honk,Блуи
Spidey and His Amazing Friends - Bootsie's Day Out/ Trouble at Tony's,Спайди и невероятните му приятели
Спайди и невероятните му приятели - Хаос в лагера/ Пантер-капсула на помощ,Спайди и невероятните му приятели
Разказите на костенурките нинджа - сезон 2 епизод 7,Приказки за костенурките нинджа
Приказки за костенурките нинджа - сезон 2 епизод 12,Приказки за костенурките нинджа
"Batwheels , сезон 1 , епизод 28",Batwheels
"Запознайте се с Batwheels! , сезон 1 , епизод 6",Batwheels
"Дивата шайка на семейство Уайлд - Пак, сез.1 - сезон 1 епизод 9",Дивата шайка на семейство Уайлд-Пак
Дивата шайка на семейство Уайлд-Пак - сезон 1 епизод 4,Дивата шайка на семейство Уайлд-Пак
Дисни Къщатата на совите - Езеро Еклиптика,Къщата на совите
"i - Карли, сез.2, еп.13",iCarly
"Robogobo: Season 1 - Hop on the Wild Side, A/ Skatepark Snafu",Robogobo
"RoboGobo S1 Splits - Chirp Chasers, The",Robogobo
Magicampers - Bake Off and Away/ Fierce or Fabulous,Magicampers
Magicampers: Season 1 Splits - Mystery in Magicamp,Magicampers
SuperKitties - The SuperKitties and the Blueberry Bonanza,SuperKitties
SuperKitties: Su-Purr Charged - Museum Mayhem/ Big Dig,SuperKitties
